SUBJECT,CONTENT
biology/,"THE LIVING WORLD providing scientiﬁc names better. The scientiﬁc name of mango is written as Mangifera indica. Let us see how it is a binomial name. In this name Mangifera represents the genus while indica, is a particular species, or a speciﬁc epithet. Other universal rules of nomenclature are as follows: 1. Biological names are generally in Latin and written in italics. They are Latinised or derived from Latin irrespective of their origin. 2. The ﬁrst word in a biological name represents the genus while the second component denotes the speciﬁc epithet. 3. Both the words in a biological name, when handwritten, are separately underlined, or printed in italics to indicate their Latin origin. 4. The ﬁrst word denoting the genus starts with a capital letter while the speciﬁc epithet starts with a small letter. It can be illustrated with the example of Mangifera indica. Name of the author appears after the speciﬁc epithet, i.e., at the end of the biological name and is written in an abbreviated form, e. g., Mangﬁera indica Linn. It indicates that this species was ﬁrst described by Linnaeus. Since it is nearly impossible to study all the living organisms, it is necessary to devise some means to make this possible. This process is classiﬁcation. Classiﬁcation is the process by which anything is grouped into convenient categories based on some easily observable characters. For example, we easily recognise groups such as plants or animals or dogs, cats or insects. The moment we use any of these terms, we associate certain characters with the organism in that group. What image do you see when you think of a dog ? Obviously, each one of us will see ‘dogs’ and not ‘cats’. Now, if we were to think of ‘Alsatians’ we know what we are talking about. Similarly, suppose we were to say ‘mammals’, you would, of course, think of animals with external ears and body hair. Likewise, in plants, if we try to talk of ‘Wheat’, the picture in each of our minds will be of wheat plants, not of rice or any other plant. Hence, all these - ‘Dogs’, ‘Cats’, ‘Mammals’, ‘Wheat’, ‘Rice’, ‘Plants’, ‘Animals’, etc., are convenient categories we use to study organisms. The scientiﬁc term for these categories is taxa. Here you must recognise that taxa can indicate categories at very different levels. ‘Plants’ — also form a taxa. ‘Wheat’ is also a taxa. Similarly, ‘animals’, ‘mammals’, ‘dogs’ are all taxa — but you know that a dog is a mammal and mammals are animals. Therefore, ‘animals’, ‘mammals’ and ‘dogs’ represent taxa at different levels. Hence, based on characteristics, all living organisms can be classiﬁed into different taxa. This process of classiﬁcation is taxonomy. External and internal structure, along with the structure of cell, development"
biology/,"262 BIOLOGY amylase. About 30 per cent of starch is hydrolysed here by this enzyme (optimum pH 6.8) into a disaccharide — maltose. Lysozyme present in saliva acts as an antibacterial agent that prevents infections. The mucosa of stomach has gastric glands. Gastric glands have three major types of cells namely - (i) mucus neck cells which secrete mucus; (ii) peptic or chief cells which secrete the proenzyme pepsinogen; and (iii) parietal or oxyntic cells which secrete HCl and intrinsic factor (factor essential for absorption of vitamin B12). ,— y ‘7’ .v , f: .2 ‘ ‘l ‘ z.. z .‘ {Swimsus—r-Ee- , , , . . ’7-0 .1_ The stomach stores the food for 4-5 hours. The food mixes thoroughly with the acidic gastric juice of the stomach by the churning movements of its muscular wall and is called the chyme. ’Ihe proenzyme pepsinogen, on exposure to hydrochloric acid gets converted into the active enzyme pepsin, the proteolytic enzyme of the stomach. Pepsin converts proteins into proteoses and peptones (peptides). The mucus and bicarbonates present in the gastric juice play an important role in lubrication and protection of the mucosal epithelium from excoriation by the highly concentrated hydrochloric acid. HCl provides the acidic pH (pH 1.8) optimal for pepsins. Rennin is a proteolytic enzyme found in gastric juice of infants which helps in the digestion of milk proteins. Small amounts of lipases are also secreted by gastric glands. Various types of movements are generated by the muscularis layer of the small intestine. These movements help in a thorough mixing up of the food with various secretions in the intestine and thereby facilitate digestion. The bile, pancreatic juice and the intestinal juice are the secretions released into the small intestine. Pancreatic juice and bile are released through the hepato-pancreatic duct. The pancreatic juice contains inactive enzymes — trypsinogen, chymotrypsinogen, procarboxypeptidases, amylases, lipases and nucleases. Trypsinogen is activated by an enzyme, enterokinase, secreted by the intestinal mucosa into active trypsin, which in turn activates the other enzymes in the pancreatic juice. The bile released into the duodenum contains bile pigments (bilirubin and bili-verdin), bile salts, cholesterol and phospholipids but no enzymes. Bile helps in emulsiﬁcation of fats, i.e., breaking down of the fats into very small micelles. Bile also activates lipases. The intestinal mucosal epithelium has goblet cells which secrete mucus. The secretions of the brush border cells of the mucosa alongwith the secretions of the goblet cells constitute the intestinal juice or succus entericus. This juice contains a variety of enzymes like disaccharidases (e. g., maltase), dipeptidases, lipases, nucleosidases, etc. The mucus alongwith the bicarbonates from the pancreas protects the intestinal mucosa from acid as well as provide an alkaline medium (pH 7 .8) for enzymatic activities. Sub-mucosal glands (Brunner’s glands) also help in this."
physics/,"l84 PHYSICS Copernicus (1473-1543) proposed a deﬁnitive model in which the planets moved in circles around a fixed central sun. His theory was discredited by the church, but notable amongst its supporters was Galileo who had to face prosecution from the state for his beliefs. It was around the same time as Galileo, a nobleman called Tycho Brahe (1546-1601) hailing from Denmark, spent his entire lifetime recording observations of the planets with the naked eye. His compiled data were analysed later by his assistant Johannes Kepler (157 l- 1640). He could extract from the data three elegant laws that now go by the name of Kepler’s laws. These laws were known to Newton and enabled him to make a great scientific leap in proposing his universal law of gravitation. 8.2 KEPLER'S LAWS The three laws of Kepler can be stated as follows: 1. Law of orbits : All planets move in elliptical orbits with the Sun situated at one of the foci Fig. 8.1(a) An ellipse traced out by a planet around the sun. The closest point is P and the farthest point is A, P is called the perihelion and A the aphelion. The semimajor axis is half the distance AP. Fig. 8.1(b) Drawing an ellipse. A string has its ends ﬁxed at F1 and F2. The tip of a pencil holds the string taut and is moved around. * Refer to information given in the Box on Page 182 2019-20 of the ellipse (Fig. 8.1a). This law was a deviation from the Copernican model which allowed only circular orbits. The ellipse, of which the circle is a special case, is a closed curve which can be drawn very simply as follows. Select two points F1 and F2. Take a length of a string and fix its ends at F1 and F2 by pins. With the tip of a pencil stretch the string taut and then draw a curve by moving the pencil keeping the string taut throughout.(Fig. 8.1(b)) The closed curve you get is called an ellipse. Clearly for any point T on the ellipse, the sum of the distances from F1 and F2 is a constant. F1, F2 are called the focii. Join the points F1 and F2 and extend the line to intersect the ellipse at points P and A as shown in Fig. 8.1(b). The midpoint of the line PA is the centre of the ellipse O and the length P0 = A0 is called the semi- major axis of the ellipse. For a circle, the two focii merge into one and the semi-major axis becomes the radius of the circle. 2. Law of areas : The line that joins any planet to the sun sweeps equal areas in equal intervals of time (Fig. 8.2). This law comes from the observations that planets appear to move slower when they are farther from the sun than when they are nearer. p (Planet) Fig. 8.2 The planet P moves around the sun in an elliptical orbit. The shaded area is the area AA swept out in a small interval of time At. 3. Law of periods : The square of the time period of revolution of a planet is proportional to the cube of the semi-major axis of the ellipse traced out by the planet. Table 8.1 gives the approximate time periods of revolution of eight* planets around the sun along with values of their semi-major axes."
physics/,"350 PHYSICS Fig. 14.14 Answer Let the mass be displaced by a small distance x to the right side of the equilibrium position, as shown in Fig. 14.15. Under this situation the spring on the left side gets Fig. 14.15 elongated by a length equal to x and that on the right side gets compressed by the same length. The forces acting on the mass are then, F1 = —kx (force exerted by the spring on the left side, trying to pull the mass towards the mean position) F2 = —kx (force exerted by the spring on the right side, trying to push the mass towards the mean position) The net force, F, acting on the mass is then given by, F =—2kx Hence the force acting on the mass is proportional to the displacement and is directed towards the mean position; therefore, the motion executed by the mass is simple harmonic. The time period of oscillations is, [m T=27c — 4 2k 2019-20 14.7 ENERGY IN SIMPLE HARMONIC MOTION Both kinetic and potential energies of a particle in SHM vary between zero and their maximum values. In section 14.5 we have seen that the velocity of a particle executing SHM, is a periodic function of time. It is zero at the extreme positions of displacement. Therefore, the kinetic energy (K) of such a particle, which is defined as K=lmv2 2 = g m (02A2 sin2(a)t + ¢) =ékA2sin2(wt+¢) (14.15) is also a periodic function of time, being zero when the displacement is maximum and maximum when the particle is at the mean position. Note, since the sign of v is immaterial in K, the period of K is T/ 2. What is the potential energy (U) of a particle executing simple harmonic motion? In Chapter 6, we have seen that the concept of potential energy is possible only for conservative forces. The spring force F = —kx is a conservative force, with associated potential energy 1 U=§kx2 (14.16) Hence the potential energy of a particle executing simple harmonic motion is, U(x) = l kx2 2 =ékA2c052(a)t+¢) (14.17) Thus, the potential energy of a particle executing simple harmonic motion is also periodic, with period T/ 2, being zero at the mean position and maximum at the extreme displacements."
biology/,"BIOLOGY process and ecological information of organisms are essential and form the basis of modern taxonomic studies. Hence, characterisation, identiﬁcation, classiﬁcation and nomenclature are the processes that are basic to taxonomy. Taxonomy is not something new. Human beings have always been interested in knowing more and more about the various kinds of organisms, particularly with reference to their own use. In early days, human beings needed to ﬁnd sources for their basic needs of food, clothing and shelter. Hence, the earliest classiﬁcations were based on the ‘uses’ of various organisms. Human beings were, since long, not only interested in knowing more about different kinds of organisms and their diversities, but also the relationships among them. This branch of study was referred to as systematics. The word systematics is derived from the Latin word ‘systema’ which means systematic arrangement of organisms. Linnaeus used Systema Naturae as the title of his publication. The scope of systematics was later enlarged to include identiﬁcation, nomenclature and classification. Systematics takes into account evolutionary relationships between organisms. 1 .3 TAXONOMIC CATEGORIES Classiﬁcation is not a single step process but involves hierarchy of steps in which each step represents a rank or category. Since the category is a part of overall taxonomic arrangement, it is called the taxonomic category and all categories together constitute the taxonomic hierarchy. Each category, referred to as a unit of classiﬁcation, in fact, represents a rank and is commonly termed as taxon (pl.: taxa). Taxonomic categories and hierarchy can be illustrated by an example. Insects represent a group of organisms sharing common features like three pairs of jointed legs. It means insects are recognisable concrete objects which can be classiﬁed, and thus were given a rank or category. Can you name other such groups of organisms? Remember, groups represent category. Category further denotes rank. Each rank or taxon, in fact, represents a unit of classiﬁcation. These taxonomic groups/ categories are distinct biological entities and not merely morphological aggregates. Taxonomical studies of all known organisms have led to the development of common categories such as kingdom, phylum or division (for plants), class, order, family, genus and species. All organisms, including those in the plant and animal kingdoms have species as the lowest category. Now the question you may ask is, how to place an"
accounts/,"2 1 0 Accountancy (iii) Machinery A / c Dr. 1,000 To Repairs A/c 1,000 [Repairs for overhauling of second hand machinery purchased, wrongly debited to repairs account, now rectified). {iv} Building A/c Dr. 10,000 To Purchases A/c 8,000 To Wages A/c 2,000 [Material and wages used for construction of Building, not debited to building account). (V) Furniture A/c Dr. 5,000 To Purchases A/c 500 To Suspense A/c 4,500 [Furniture purchased for ? 5,000 wrongly debited to purchases account as ? 500, now rectified). (vi) Sales A/c Dr, 2,000 To Machinery 2,000 [Sale of machinery wrongly recorded in sales book, now rectified). (Vii) Sales Return A/c Dr. 3,000 To Suspense A/c 3,000 [Total of sales returns book not posted to ledger, now rectified). Suspense Account ? ? Difference as per 7,500 Furniture 4,500 trial balance Sales return 3.000 Hence, original difference in Trial Balance was ? 7 ,500 excess on the Credit side. 2019-2020"
biology/,"11.1 11.2 11.3 11.4 11.5 11.6 Means of Transport Plant—Water Relations Long Distance Transport of Water Trans pi rat ion Uptake and Transport of Mineral N um’ents Phloem Transport: Flow from Source to Sink HOSOCHH CHAPTER 1 1 TRANSPORT IN PLANTS Have you ever wondered how water reaches the top of tall trees, or for that matter how and why substances move from one cell to the other, whether all substances move in a similar way, in the same direction and whether metabolic energy is required for moving substances. Plants need to move molecules over very long distances, much more than animals do; they also do not have a circulatory system in place. Water taken up by the roots has to reach all parts of the plant, up to the very tip of the growing stem. The photosynthates or food synthesised by the leaves have also to be moved to all parts including the root tips embedded deep inside the soil. Movement across short distances, say within the cell, across the membranes and from cell to cell within the tissue has also to take place. To understand some of the transport processes that take place in plants, one would have to recollect one’s basic knowledge about the structure of the cell and the anatomy of the plant body. We also need to revisit our understanding of diffusion, besides gaining some knowledge about chemical potential and ions. When we talk of the movement of substances we need first to define what kind of movement we are talking about, and also what substances we are looking at. In a ﬂowering plant the substances that would need to be transported are water, mineral nutrients, organic nutrients and plant growth regulators. Over small distances substances move by diffusion and by cytoplasmic streaming supplemented by active transport. Transport over longer distances proceeds through the vascular system (the xylem and the phloem) and is called translocation. An important aspect that needs to be considered is the direction of transport. In rooted plants, transport in xylem (of water and minerals) is essentially unidirectional, from roots to the stems. Organic and mineral nutrients however, undergo multidirectional transport. Organic 2019-2020"
biology/,"11.1 11.2 11.3 11.4 11.5 11.6 Means of Transport Plant—Water Relations Long Distance Transport of Water Trans pi rat ion Uptake and Transport of Mineral N um’ents Phloem Transport: Flow from Source to Sink HOSOCHH CHAPTER 1 1 TRANSPORT IN PLANTS Have you ever wondered how water reaches the top of tall trees, or for that matter how and why substances move from one cell to the other, whether all substances move in a similar way, in the same direction and whether metabolic energy is required for moving substances. Plants need to move molecules over very long distances, much more than animals do; they also do not have a circulatory system in place. Water taken up by the roots has to reach all parts of the plant, up to the very tip of the growing stem. The photosynthates or food synthesised by the leaves have also to be moved to all parts including the root tips embedded deep inside the soil. Movement across short distances, say within the cell, across the membranes and from cell to cell within the tissue has also to take place. To understand some of the transport processes that take place in plants, one would have to recollect one’s basic knowledge about the structure of the cell and the anatomy of the plant body. We also need to revisit our understanding of diffusion, besides gaining some knowledge about chemical potential and ions. When we talk of the movement of substances we need first to define what kind of movement we are talking about, and also what substances we are looking at. In a ﬂowering plant the substances that would need to be transported are water, mineral nutrients, organic nutrients and plant growth regulators. Over small distances substances move by diffusion and by cytoplasmic streaming supplemented by active transport. Transport over longer distances proceeds through the vascular system (the xylem and the phloem) and is called translocation. An important aspect that needs to be considered is the direction of transport. In rooted plants, transport in xylem (of water and minerals) is essentially unidirectional, from roots to the stems. Organic and mineral nutrients however, undergo multidirectional transport. Organic 2019-2020"
biology/,"BIOLOGICAL CLASSIFICATION 2.2.2 Dinoﬂagellates These organisms are mostly marine and photosynthetic. They appear yellow, green, brown, blue or red depending on the main pigments present in their cells. The cell wall has stiff cellulose plates on the outer surface. Most of them have two ﬂagella; one lies longitudinally and the other transversely in a furrow between the wall plates. Very often, red dinoﬂagellates (Example: Gonyaulax) undergo such rapid multiplication that they make the sea appear red (red tides). Toxins released by such large numbers may even kill other marine animals such as ﬁshes. 2.2.3 Euglenoids Majority of them are fresh water organisms found in stagnant water. Instead of a cell wall, they have a protein rich layer called pellicle which makes their body ﬂexible. They have two ﬂagella, a short and a long one. Though they are photosynthetic in the presence of sunlight, when deprived of sunlight they behave like heterotrophs by predating on other smaller organisms. Interestingly, the pigments of euglenoids are identical to those present in higher plants. Example: Euglena Wigure 2.4a). 2.2.4 Slime Moulds Slime moulds are saprophytic protists. The body moves along decaying twigs and leaves engulfing organic material. Under suitable conditions, they form an aggregation called plasmodium which may grow and spread over several feet. During unfavourable conditions, the plasmodium differentiates and forms fruiting bodies bearing spores at their tips. The spores possess true walls. They are extremely resistant and survive for many years, even under adverse conditions. The spores are dispersed by air currents. 2.2.5 Protozoans All protozoans are heterotrophs and live as predators or parasites. They are believed to be primitive relatives of animals. There are four major groups of protozoans. Amoeboid protozoans: These organisms live in fresh water, sea water or moist soil. They move and capture 21 Figure 2.4 (a) Dinoﬂagellates (b) Euglena (c) Slime mould (d) Paramoecium"
accounts/,"Recording of Transactions — II 107 We will now learn how the transactions are recorded in the double column cash book. Consider the following example: The following transactions related to M / s Tools India : Bank balance Cash balance Purchased goods by cheque Sales of goods for cash Purchased machinery by cheque Sold goods and received cheque [deposited same day) Purchase goods from Mriaula in cash Purchase stationery by cheque Cheque given to Rohit Cash withdrawn from bank Rent paid by cheque Paid salary The double column cash book based upon above business transactions will prepared as follows : Cash Book Dr. Cr. ? ? ? ? Balance b /d 15,000 42,000 Purchases Sales Machine Sales Purchase Bank Stationery Rohit Cash Rent Salary Balance c / d 10,100 13,900 Balance b /d 2019-2020 10,100 13,900"
biology/,"THE LIVING WORLD unicellular or multicellular. All plants, animals, fungi and microbes exhibit metabolism. The sum total of all the chemical reactions occurring in our body is metabolism. No non-living object exhibits metabolism. Metabolic reactions can be demonstrated outside the body in cell-free systems. An isolated metabolic reaction(s) outside the body of an organism, performed in a test tube is neither living nor non-living. Hence, while metabolism is a defining feature of all living organisms without exception, isolated metabolic reactions in vitro are not living things but surely living reactions. Hence, cellular organisation of the body is the deﬁning feature of life forms. Perhaps, the most obvious and technically complicated feature of all living organisms is this ability to sense their surroundings or environment and respond to these environmental stimuli which could be physical, chemical or biological. We sense our environment through our sense organs. Plants respond to external factors like light, water, temperature, other organisms, pollutants, etc. All organisms, from the prokaryotes to the most complex eukaryotes can sense and respond to environmental cues. Photoperiod affects reproduction in seasonal breeders, both plants and animals. All organisms handle chemicals entering their bodies. All organisms therefore, are ‘aware’ of their surroundings. Human being is the only organism who is aware of himself, i.e., has self-consciousness. Consciousness therefore, becomes the deﬁning property of living organisms. When it comes to human beings, it is all the more difficult to deﬁne the living state. We observe patients lying in coma in hospitals virtually supported by machines which replace heart and lungs. The patient is otherwise brain-dead. The patient has no self-consciousness. Are such patients who never come back to normal life, living or non-living? In higher classes, you will come to know that all living phenomena are due to underlying interactions. Properties of tissues are not present in the constituent cells but arise as a result of interactions among the constituent cells. Similarly, properties of cellular organelles are not present in the molecular constituents of the organelle but arise as a result of interactions among the molecular components comprising the organelle. These interactions result in emergent properties at a higher level of organisation. This phenomenon is true in the hierarchy of organisational complexity at all levels. Therefore, we can say that living organisms are self-replicating, evolving and self-regulating interactive systems capable of responding to external stimuli. Biologr is the story of life on earth. Biology is the story of evolution of living organisms on earth. All living organisms — present, past and future, are linked to one another by the sharing of the common genetic material, but to varying degrees."
physics/,"WORK. ENERGY AND POWER 1 19 The work done by the frictional force is F(x) Wf—> area of the rectangle AGHI W} = (—50) x 20 W k = — 1000 J or The area on the negative side of the force axis has a negative sign. 4 6.6 THE WORK-ENERGY THEOREM FOR A 0 ’9- (b) ’9 x VARIABLE FORCE Fig. 6.3 (a) The shaded rectangle represents the work done by the varying force F(x), over the small displacement Ax, AW = FIX) Ax. (b) adding the areas of all the rectangles we ﬁnd that forAx a 0, the area under the curve is exactly equal to the work done by F(x). b Example 6.5 Awoman pushes a trunk on a railway platform which has a rough Surface. She applies a force of 100 N over a distance of 10 m. Thereafter. she gets progressively tired and her applied force reduces linearly with distance to 50 N. The total distance through which the trunk has been moved is 20 m. Plot the force applied by the woman and the frictional force, which is 50 N versus displacement. Calculate the work done by the two forces over 20 m. Fig. 6.4 Plot of the force Fapplied by the woman and the opposing frictional force f versus displacement. The plot of the applied force is shown in Fig. 6.4. At x = 20 m, F = 50 N (i 0). We are given that the frictional force f is If I = 50 N. It opposes motion and acts in a direction opposite to F. It is therefore, shown on the negative side of the force axis. The work done by the woman is WF—> area of the rectangle ABCD + area of the trapezium CEID 1 WF = 100 x 10 + E(1oo+ 50) x 10 = 1000 + 750 : 1750J We are now familiar with the concepts of work and kinetic energy to prove the work-energy theorem for a variable force. We confine ourselves to one dimension. The time rate of change of kinetic energy is dK (1(1 2) —=— —mv dt dt 2 dv =m—v dt 2F u (from Newton’s Second Law) Thus dK = Fdx Integrating from the initial position (xi) to final position ( xf), we have Kf Xf j dK = dex Ki xi where, K. and K J, are the initial and final kinetic energies corresponding to xi and x f. ""f or Kf - K = I Fdx (6.8a) From Eq. (6.7), it follows that Kf— K: = W (6.8b) Thus, the WE theorem is proved for a variable force. While the WE theorem is useful in a variety of problems, it does not, in general, incorporate the complete dynamical information of Newton’s second law. It is an integral form of Newton’s second law. Newton’s second law is a relation between acceleration and force at any instant of time. Work-energy theorem involves an integral over an interval of time. In this sense, the temporal (time) information contained in the statement of Newton’s second law is ‘integrated over’ and is 2019-20"
accounts/,"Recording of Transactions — II 101 Sold goods to Kamal for cash Paid monthly rent Paid salary Deposited in bank Roopa Traders Cash Book Dr. Cr. ? ? Balance b / d Insurance Gurmeet Furniture Sales Purchases Sales . Stationery Rukmani Balance 0 / d Balance b / d Posting of the Single Column Cash Book As evident from figure 4.1, the left side of the cash book shows the receipts of the cash whereas the right side of the cash book shows all the payments made in cash. The accounts appearing on then debit side for the cash book are credited in the respective ledger accounts because cash has been received in respect of them. Thus, in our example, an entry ‘cash received from Gurmeet’ appears on the debit side of the cash book conveys that the cash has been received from Gurmeet. Therefore, in the ledger, Gurmeet’s account will be credited by writing ‘Cash’ in the particulars column on the credit side. Similarly, all the account names appearing on the credit side of the cash book are debited as cash/ cheque has been paid in respect of them. Now, notice, how the transactions in our example are posted to the related ledger accounts: 2019-2020"
physics/,"80 PHYSICS (b1) (b) (c) Fig. 4. 1 9 Velocity and acceleration of an object in unifom circular motion. The time interval At decreases from (a) to (c) where it is zero. The acceleration is directed, at each point of the path, towards the centre of the circle. Let r and r’ be the position vectors and v and v’ the velocities of the object when it is at point P and P’ as shown in Fig. 4.19(a). By definition, velocity at a point is along the tangent at that point in the direction of motion. The velocity vectors v and v’ are as shown in Fig. 4.19(a1). Av is obtained in Fig. 4. 19 (a2) using the triangle law of vector addition. Since the path is circular, v is perpendicular to r and so is v’ to r’. Therefore, Av is perpendicular to Ar. Since A I average acceleration is along Av L5 : —VJ, the At average acceleration E is perpendicular to Ar. If we place Av on the line that bisects the angle between 1' and 1"" , we see that it is directed towards the centre of the circle. Figure 4.19(b) shows the same quantities for smaller time interval. Av and hence E is again directed towards the centre. In Fig. 4.19(c), At-> O and the average acceleration becomes the instantaneous acceleration. It is directed towards the centre*. Thus, we find that the acceleration of an object in uniform circular motion is always directed towards the centre of the circle. Let us now find the magnitude of the acceleration. The magnitude of a is, by definition, given by I l l |Av| a = ' — Alm—> 0 At Let the angle between position vectors 1' and 1"" be A0. Since the velocity vectors v and v’ are always perpendicular to the position vectors, the angle between them is also A0 . Therefore, the triangle CPP’ formed by the position vectors and the triangle GHI formed by the velocity vectors v, v’ and Av are similar (Fig. 4.19a). Therefore, the ratio of the base-length to side-length for one of the triangles is equal to that of the other triangle. That is : ‘Av‘ ‘Ar‘ U — R lArl Or, IAv|=v— R Therefore, IAVI lerl v lArl |a|= lim —— -— lim — _ lim _ At—>0 At At—>0RAt RAt—>0 At If At is small, A9 will also be small and then arc PP’ can be approximately taken to be I Arl : IArI z vAt _:U 01"" At—>0At Therefore, the centripetal acceleration aC is : * In the limit At—~ 0, Ar becomes perpendicular to r. In this limit Ave 0 and is consequently also perpendicular to V. Therefore, the acceleration is directed towards the centre, at each point of the circular path. 2019-20"
physics/,"84 PHYSICS — (v0 sineo )2 The time taken to reach this height is : _ v0 sinao 9 The horizontal distance travelled by a projectile from its initial position to the position it passes y = 0 during its fall is called the range, R of the projectile. It is : U2 R = —° sin260 g 17. When an object follows a circular path at constant speed, the motion of the object is called uniform circular motion. The magnitude of its acceleration is ac = v2 /R. The direction of ac is always towards the centre of the circle. The angular speed a). is the rate of change of angular distance. It is related to velocity v by v = (OR. The acceleration is ac = a) 2R. If T is the time period of revolution of the object in circular motion and v is its frequency, we have w= 2n v, v = 27th, ac = 47t2V2R 5”“ -W tm Physical Quantity Position vector 1' [L] m Vector. It may be denoted by any other symbol as well. Displacement Ar [L] m - do - Velocity [LT—1] m s""1 Ar 4| (3) Average = — vector At’ dr (b) Instantaneous V =— ,vector dt Acceleration Av =—, vector At dv (b) Instantaneous a = d— , vector t M (a) Average Projectile motion (a) Time of max. tm [T] s = v0 Sin90 height 9 - 2 (b) Max. height hm [L] m = (120 s1n60) 29 2 . (c) Horizontal range R [L] m 2 v0 sm290 9 Circular motion (a) Angular speed (,3 [T“] rad/s =A—6 = 3 At r (b) Centripetal a [L -2] m 5—2 _ “2 acceleration ° _ 7 2019-20"
biology/,"310 Cervical vertebra Thoracic vertebra Lumbar vertebra Figure 20.7 Vertebral column (right lateral view) Floating ribsl-ﬂl Figure 20.8 Ribs and rib cage BIOLOGY vertebral column with the help of two occipital condyles (dicondylic skull). Our vertebral column (Figure 20.7) is formed by 26 serially arranged units called vertebrae and is dorsally placed. It extends from the base of the skull and constitutes the main framework of the trunk. Each vertebra has a central hollow portion (neural canal) through which the spinal cord passes. First vertebra is the atlas and it articulates with the occipital condyles. The vertebral column is differentiated into cervical (7), thoracic (12), lumbar (5), sacral (1 -fused) and coccygeal (l-fused) regions starting from the skull. The number of cervical vertebrae are seven in almost all mammals including human beings. The vertebral column protects the spinal cord, supports the head and serves as the point of attachment for the ribs and musculature of the back. Sternum is a ﬂat bone on the ventral midline of thorax. There are 12 pairs of ribs. Each rib is a thin ﬂat bone connected dorsally to the vertebral column and ventrally to the sternum. It has two articulation surfaces on its dorsal end and is hence called bicephalic. First seven pairs of ribs are called true ribs. Dorsally, they are attached to the thoracic vertebrae and ventrally connected to the sternum with the help of hyaline cartilage. The 8th, 9th and 10th pairs of ribs do not articulate directly with the sternum but join the seventh rib with the help of hyaline cartilage. These are called vertebrochondral (false) ribs. Last 2 pairs (1 1th and 12th) of ribs are not connected ventrally and are therefore, called ﬂoating ribs. Thoracic vertebrae, ribs and sternum together form the rib cage (Figure 20.8). The bones of the limbs alongwith their girdles constitute the appendicular skeleton. Each limb is made of 30 bones. The bones of the hand (fore limb) are humerus, radius and"
accounts/,"The petty cash book for the month will be prepared as follows : Book of Samaira Traders Petty Cash Book Amount Date Particulars Voucher Amount Analysis of Payments Received No. paid ? 201 7 ? Postage Telephone Conveyance Stationery Misc. May & Telegram 2,000 0 1 Cash received 02 Auto fare 55 55 03 Courier services 40 40 04 Postal stamps 105 1 05 05 Erasers / Sharpeners 225 225 / Pencils 06 Speed post charges 98 98 O8 Taxi fare (105 + 90) 195 195 08 Refreshments 85 85 1 0 Auto fare 60 60 12 Registered postal 42 42 charges 1 3 Telegram 34 34 1 4 Cartage 25 25 1 6 Computer stationery 1 65 1 65 19 Bus fare 24 24 19 STD call charges 87 87 20 Office sanitation 60 60 including disinfectant (36+24) 22 Refreshment 45 45 23 Photo stating charges 47 47 28 Courier services 40 40 29 Unloading charges 40 40 30 Bus fare 1 5 1 5 1,487 325 121 349 390 302 31 Balance c/d 513 2,000 2,000 = Jun. = 513 01 Balance b/d 1 ,487 0 1 Cash received 2019-2020 311 Aoumunooov"
